Date,Open,High,Low,Close,Adj Close,Volume
2022-02-01,174.009995,174.839996,172.309998,174.610001,173.602463,86213900
2022-02-02,174.750000,175.880005,173.330002,175.839996,174.825348,84914300
2022-02-03,174.479996,176.240005,172.119995,172.899994,171.902313,89418100
2022-02-04,171.679993,174.100006,170.679993,172.389999,171.613632,82465400
2022-02-07,172.860001,173.949997,170.949997,171.660004,170.886917,77251200
2022-02-08,171.729996,175.350006,171.429993,174.830002,174.042633,74829200
2022-02-09,176.050003,176.649994,174.899994,176.279999,175.486115,71285000
2022-02-10,174.139999,175.479996,171.550003,172.119995,171.344833,90865900
2022-02-11,172.330002,173.080002,168.039993,168.639999,167.880524,98670700
2022-02-14,167.369995,169.580002,166.559998,168.880005,168.119431,86185500
2022-02-15,170.970001,172.949997,170.250000,172.789993,172.011826,62527400
2022-02-16,171.850006,173.339996,170.050003,172.550003,171.772919,61177400
2022-02-17,171.029999,171.910004,168.470001,168.880005,168.119431,69589300
2022-02-18,169.820007,170.539993,166.190002,167.300003,166.546555,82772700
2022-02-22,164.979996,166.690002,162.149994,164.320007,163.579971,91162800
2022-02-23,165.539993,166.149994,159.750000,160.070007,159.349121,90009200
2022-02-24,152.580002,162.850006,152.000000,162.740005,162.007095,141147500
2022-02-25,163.839996,165.119995,160.869995,164.850006,164.107590,91974200
2022-02-28,163.059998,165.419998,162.429993,165.119995,164.376373,95056600
